model_name, participant, is_model, quantile_idx, rt, theta
Thresh, 1, true, 0.1, 0.11531, -3.1416
Thresh, 1, true, 0.1, 0.11531, -3.0159
Thresh, 1, true, 0.1, 0.11531, -2.8903
Thresh, 1, true, 0.1, 0.11531, -2.7646
Thresh, 1, true, 0.1, 0.11531, -2.6389
Thresh, 1, true, 0.1, 0.11531, -2.5133
Thresh, 1, true, 0.1, 0.11531, -2.3876
Thresh, 1, true, 0.1, 0.11531, -2.2619
Thresh, 1, true, 0.1, 0.11531, -2.1363
Thresh, 1, true, 0.1, 0.11531, -2.0106
Thresh, 1, true, 0.1, 0.11531, -1.885
Thresh, 1, true, 0.1, 0.11531, -1.7593
Thresh, 1, true, 0.1, 0.11531, -1.6336
Thresh, 1, true, 0.1, 0.11531, -1.508
Thresh, 1, true, 0.1, 0.11531, -1.3823
Thresh, 1, true, 0.1, 0.11531, -1.2566
Thresh, 1, true, 0.1, 0.11531, -1.131
Thresh, 1, true, 0.1, 0.11531, -1.0053
Thresh, 1, true, 0.1, 0.11532, -0.87965
Thresh, 1, true, 0.1, 0.11538, -0.75398
Thresh, 1, true, 0.1, 0.11569, -0.62832
Thresh, 1, true, 0.1, 0.11679, -0.50265
Thresh, 1, true, 0.1, 0.11969, -0.37699
Thresh, 1, true, 0.1, 0.12504, -0.25133
Thresh, 1, true, 0.1, 0.13115, -0.12566
Thresh, 1, true, 0.1, 0.13392, 1.1102e-15
Thresh, 1, true, 0.1, 0.13115, 0.12566
Thresh, 1, true, 0.1, 0.12504, 0.25133
Thresh, 1, true, 0.1, 0.11969, 0.37699
Thresh, 1, true, 0.1, 0.11679, 0.50265
Thresh, 1, true, 0.1, 0.11569, 0.62832
Thresh, 1, true, 0.1, 0.11538, 0.75398
Thresh, 1, true, 0.1, 0.11532, 0.87965
Thresh, 1, true, 0.1, 0.11531, 1.0053
Thresh, 1, true, 0.1, 0.11531, 1.131
Thresh, 1, true, 0.1, 0.11531, 1.2566
Thresh, 1, true, 0.1, 0.11531, 1.3823
Thresh, 1, true, 0.1, 0.11531, 1.508
Thresh, 1, true, 0.1, 0.11531, 1.6336
Thresh, 1, true, 0.1, 0.11531, 1.7593
Thresh, 1, true, 0.1, 0.11531, 1.885
Thresh, 1, true, 0.1, 0.11531, 2.0106
Thresh, 1, true, 0.1, 0.11531, 2.1363
Thresh, 1, true, 0.1, 0.11531, 2.2619
Thresh, 1, true, 0.1, 0.11531, 2.3876
Thresh, 1, true, 0.1, 0.11531, 2.5133
Thresh, 1, true, 0.1, 0.11531, 2.6389
Thresh, 1, true, 0.1, 0.11531, 2.7646
Thresh, 1, true, 0.1, 0.11531, 2.8903
Thresh, 1, true, 0.1, 0.11531, 3.0159
Thresh, 1, true, 0.5, 0.36174, -3.1416
Thresh, 1, true, 0.5, 0.36174, -3.0159
Thresh, 1, true, 0.5, 0.36174, -2.8903
Thresh, 1, true, 0.5, 0.36174, -2.7646
Thresh, 1, true, 0.5, 0.36174, -2.6389
Thresh, 1, true, 0.5, 0.36174, -2.5133
Thresh, 1, true, 0.5, 0.36174, -2.3876
Thresh, 1, true, 0.5, 0.36174, -2.2619
Thresh, 1, true, 0.5, 0.36174, -2.1363
Thresh, 1, true, 0.5, 0.36174, -2.0106
Thresh, 1, true, 0.5, 0.36174, -1.885
Thresh, 1, true, 0.5, 0.36174, -1.7593
Thresh, 1, true, 0.5, 0.36174, -1.6336
Thresh, 1, true, 0.5, 0.36174, -1.508
Thresh, 1, true, 0.5, 0.36174, -1.3823
Thresh, 1, true, 0.5, 0.36174, -1.2566
Thresh, 1, true, 0.5, 0.36174, -1.131
Thresh, 1, true, 0.5, 0.36174, -1.0053
Thresh, 1, true, 0.5, 0.3618, -0.87965
Thresh, 1, true, 0.5, 0.36214, -0.75398
Thresh, 1, true, 0.5, 0.36389, -0.62832
Thresh, 1, true, 0.5, 0.37048, -0.50265
Thresh, 1, true, 0.5, 0.38913, -0.37699
Thresh, 1, true, 0.5, 0.42609, -0.25133
Thresh, 1, true, 0.5, 0.47287, -0.12566
Thresh, 1, true, 0.5, 0.4966, 1.1102e-15
Thresh, 1, true, 0.5, 0.47287, 0.12566
Thresh, 1, true, 0.5, 0.42609, 0.25133
Thresh, 1, true, 0.5, 0.38913, 0.37699
Thresh, 1, true, 0.5, 0.37048, 0.50265
Thresh, 1, true, 0.5, 0.36389, 0.62832
Thresh, 1, true, 0.5, 0.36214, 0.75398
Thresh, 1, true, 0.5, 0.3618, 0.87965
Thresh, 1, true, 0.5, 0.36174, 1.0053
Thresh, 1, true, 0.5, 0.36174, 1.131
Thresh, 1, true, 0.5, 0.36174, 1.2566
Thresh, 1, true, 0.5, 0.36174, 1.3823
Thresh, 1, true, 0.5, 0.36174, 1.508
Thresh, 1, true, 0.5, 0.36174, 1.6336
Thresh, 1, true, 0.5, 0.36174, 1.7593
Thresh, 1, true, 0.5, 0.36174, 1.885
Thresh, 1, true, 0.5, 0.36174, 2.0106
Thresh, 1, true, 0.5, 0.36174, 2.1363
Thresh, 1, true, 0.5, 0.36174, 2.2619
Thresh, 1, true, 0.5, 0.36174, 2.3876
Thresh, 1, true, 0.5, 0.36174, 2.5133
Thresh, 1, true, 0.5, 0.36174, 2.6389
Thresh, 1, true, 0.5, 0.36174, 2.7646
Thresh, 1, true, 0.5, 0.36174, 2.8903
Thresh, 1, true, 0.5, 0.36174, 3.0159
Thresh, 1, true, 0.9, 0.95911, -3.1416
Thresh, 1, true, 0.9, 0.95911, -3.0159
Thresh, 1, true, 0.9, 0.95911, -2.8903
Thresh, 1, true, 0.9, 0.95911, -2.7646
Thresh, 1, true, 0.9, 0.95911, -2.6389
Thresh, 1, true, 0.9, 0.95911, -2.5133
Thresh, 1, true, 0.9, 0.95911, -2.3876
Thresh, 1, true, 0.9, 0.95911, -2.2619
Thresh, 1, true, 0.9, 0.95911, -2.1363
Thresh, 1, true, 0.9, 0.95911, -2.0106
Thresh, 1, true, 0.9, 0.95911, -1.885
Thresh, 1, true, 0.9, 0.95911, -1.7593
Thresh, 1, true, 0.9, 0.95911, -1.6336
Thresh, 1, true, 0.9, 0.95911, -1.508
Thresh, 1, true, 0.9, 0.95911, -1.3823
Thresh, 1, true, 0.9, 0.95911, -1.2566
Thresh, 1, true, 0.9, 0.95911, -1.131
Thresh, 1, true, 0.9, 0.95917, -1.0053
Thresh, 1, true, 0.9, 0.95961, -0.87965
Thresh, 1, true, 0.9, 0.96248, -0.75398
Thresh, 1, true, 0.9, 0.9774, -0.62832
Thresh, 1, true, 0.9, 1.0361, -0.50265
Thresh, 1, true, 0.9, 1.1944, -0.37699
Thresh, 1, true, 0.9, 1.3865, -0.25133
Thresh, 1, true, 0.9, 1.4999, -0.12566
Thresh, 1, true, 0.9, 1.5347, 1.1102e-15
Thresh, 1, true, 0.9, 1.4999, 0.12566
Thresh, 1, true, 0.9, 1.3865, 0.25133
Thresh, 1, true, 0.9, 1.1944, 0.37699
Thresh, 1, true, 0.9, 1.0361, 0.50265
Thresh, 1, true, 0.9, 0.9774, 0.62832
Thresh, 1, true, 0.9, 0.96248, 0.75398
Thresh, 1, true, 0.9, 0.95961, 0.87965
Thresh, 1, true, 0.9, 0.95917, 1.0053
Thresh, 1, true, 0.9, 0.95911, 1.131
Thresh, 1, true, 0.9, 0.95911, 1.2566
Thresh, 1, true, 0.9, 0.95911, 1.3823
Thresh, 1, true, 0.9, 0.95911, 1.508
Thresh, 1, true, 0.9, 0.95911, 1.6336
Thresh, 1, true, 0.9, 0.95911, 1.7593
Thresh, 1, true, 0.9, 0.95911, 1.885
Thresh, 1, true, 0.9, 0.95911, 2.0106
Thresh, 1, true, 0.9, 0.95911, 2.1363
Thresh, 1, true, 0.9, 0.95911, 2.2619
Thresh, 1, true, 0.9, 0.95911, 2.3876
Thresh, 1, true, 0.9, 0.95911, 2.5133
Thresh, 1, true, 0.9, 0.95911, 2.6389
Thresh, 1, true, 0.9, 0.95911, 2.7646
Thresh, 1, true, 0.9, 0.95911, 2.8903
Thresh, 1, true, 0.9, 0.95911, 3.0159
Thresh, 2, true, 0.1, 0.51059, -3.1416
Thresh, 2, true, 0.1, 0.51059, -3.0159
Thresh, 2, true, 0.1, 0.51059, -2.8903
Thresh, 2, true, 0.1, 0.51059, -2.7646
Thresh, 2, true, 0.1, 0.51059, -2.6389
Thresh, 2, true, 0.1, 0.51059, -2.5133
Thresh, 2, true, 0.1, 0.51059, -2.3876
Thresh, 2, true, 0.1, 0.51059, -2.2619
Thresh, 2, true, 0.1, 0.51059, -2.1363
Thresh, 2, true, 0.1, 0.51059, -2.0106
Thresh, 2, true, 0.1, 0.51059, -1.885
Thresh, 2, true, 0.1, 0.51059, -1.7593
Thresh, 2, true, 0.1, 0.51059, -1.6336
Thresh, 2, true, 0.1, 0.51061, -1.508
Thresh, 2, true, 0.1, 0.5107, -1.3823
Thresh, 2, true, 0.1, 0.51111, -1.2566
Thresh, 2, true, 0.1, 0.51286, -1.131
Thresh, 2, true, 0.1, 0.51964, -1.0053
Thresh, 2, true, 0.1, 0.54194, -0.87965
Thresh, 2, true, 0.1, 0.59447, -0.75398
Thresh, 2, true, 0.1, 0.66003, -0.62832
Thresh, 2, true, 0.1, 0.70119, -0.50265
Thresh, 2, true, 0.1, 0.72, -0.37699
Thresh, 2, true, 0.1, 0.7282, -0.25133
Thresh, 2, true, 0.1, 0.73171, -0.12566
Thresh, 2, true, 0.1, 0.73266, 1.1102e-15
Thresh, 2, true, 0.1, 0.73171, 0.12566
Thresh, 2, true, 0.1, 0.7282, 0.25133
Thresh, 2, true, 0.1, 0.72, 0.37699
Thresh, 2, true, 0.1, 0.70119, 0.50265
Thresh, 2, true, 0.1, 0.66003, 0.62832
Thresh, 2, true, 0.1, 0.59447, 0.75398
Thresh, 2, true, 0.1, 0.54194, 0.87965
Thresh, 2, true, 0.1, 0.51964, 1.0053
Thresh, 2, true, 0.1, 0.51286, 1.131
Thresh, 2, true, 0.1, 0.51111, 1.2566
Thresh, 2, true, 0.1, 0.5107, 1.3823
Thresh, 2, true, 0.1, 0.51061, 1.508
Thresh, 2, true, 0.1, 0.51059, 1.6336
Thresh, 2, true, 0.1, 0.51059, 1.7593
Thresh, 2, true, 0.1, 0.51059, 1.885
Thresh, 2, true, 0.1, 0.51059, 2.0106
Thresh, 2, true, 0.1, 0.51059, 2.1363
Thresh, 2, true, 0.1, 0.51059, 2.2619
Thresh, 2, true, 0.1, 0.51059, 2.3876
Thresh, 2, true, 0.1, 0.51059, 2.5133
Thresh, 2, true, 0.1, 0.51059, 2.6389
Thresh, 2, true, 0.1, 0.51059, 2.7646
Thresh, 2, true, 0.1, 0.51059, 2.8903
Thresh, 2, true, 0.1, 0.51059, 3.0159
Thresh, 2, true, 0.5, 1.3784, -3.1416
Thresh, 2, true, 0.5, 1.3784, -3.0159
Thresh, 2, true, 0.5, 1.3784, -2.8903
Thresh, 2, true, 0.5, 1.3784, -2.7646
Thresh, 2, true, 0.5, 1.3784, -2.6389
Thresh, 2, true, 0.5, 1.3784, -2.5133
Thresh, 2, true, 0.5, 1.3784, -2.3876
Thresh, 2, true, 0.5, 1.3784, -2.2619
Thresh, 2, true, 0.5, 1.3784, -2.1363
Thresh, 2, true, 0.5, 1.3784, -2.0106
Thresh, 2, true, 0.5, 1.3784, -1.885
Thresh, 2, true, 0.5, 1.3784, -1.7593
Thresh, 2, true, 0.5, 1.3784, -1.6336
Thresh, 2, true, 0.5, 1.3783, -1.508
Thresh, 2, true, 0.5, 1.3781, -1.3823
Thresh, 2, true, 0.5, 1.3768, -1.2566
Thresh, 2, true, 0.5, 1.3716, -1.131
Thresh, 2, true, 0.5, 1.3528, -1.0053
Thresh, 2, true, 0.5, 1.3032, -0.87965
Thresh, 2, true, 0.5, 1.2299, -0.75398
Thresh, 2, true, 0.5, 1.174, -0.62832
Thresh, 2, true, 0.5, 1.1462, -0.50265
Thresh, 2, true, 0.5, 1.1341, -0.37699
Thresh, 2, true, 0.5, 1.129, -0.25133
Thresh, 2, true, 0.5, 1.1268, -0.12566
Thresh, 2, true, 0.5, 1.1262, 1.1102e-15
Thresh, 2, true, 0.5, 1.1268, 0.12566
Thresh, 2, true, 0.5, 1.129, 0.25133
Thresh, 2, true, 0.5, 1.1341, 0.37699
Thresh, 2, true, 0.5, 1.1462, 0.50265
Thresh, 2, true, 0.5, 1.174, 0.62832
Thresh, 2, true, 0.5, 1.2299, 0.75398
Thresh, 2, true, 0.5, 1.3032, 0.87965
Thresh, 2, true, 0.5, 1.3528, 1.0053
Thresh, 2, true, 0.5, 1.3716, 1.131
Thresh, 2, true, 0.5, 1.3768, 1.2566
Thresh, 2, true, 0.5, 1.3781, 1.3823
Thresh, 2, true, 0.5, 1.3783, 1.508
Thresh, 2, true, 0.5, 1.3784, 1.6336
Thresh, 2, true, 0.5, 1.3784, 1.7593
Thresh, 2, true, 0.5, 1.3784, 1.885
Thresh, 2, true, 0.5, 1.3784, 2.0106
Thresh, 2, true, 0.5, 1.3784, 2.1363
Thresh, 2, true, 0.5, 1.3784, 2.2619
Thresh, 2, true, 0.5, 1.3784, 2.3876
Thresh, 2, true, 0.5, 1.3784, 2.5133
Thresh, 2, true, 0.5, 1.3784, 2.6389
Thresh, 2, true, 0.5, 1.3784, 2.7646
Thresh, 2, true, 0.5, 1.3784, 2.8903
Thresh, 2, true, 0.5, 1.3784, 3.0159
Thresh, 2, true, 0.9, 3.2318, -3.1416
Thresh, 2, true, 0.9, 3.2318, -3.0159
Thresh, 2, true, 0.9, 3.2318, -2.8903
Thresh, 2, true, 0.9, 3.2318, -2.7646
Thresh, 2, true, 0.9, 3.2318, -2.6389
Thresh, 2, true, 0.9, 3.2318, -2.5133
Thresh, 2, true, 0.9, 3.2318, -2.3876
Thresh, 2, true, 0.9, 3.2318, -2.2619
Thresh, 2, true, 0.9, 3.2318, -2.1363
Thresh, 2, true, 0.9, 3.2318, -2.0106
Thresh, 2, true, 0.9, 3.2318, -1.885
Thresh, 2, true, 0.9, 3.2317, -1.7593
Thresh, 2, true, 0.9, 3.2317, -1.6336
Thresh, 2, true, 0.9, 3.2316, -1.508
Thresh, 2, true, 0.9, 3.2312, -1.3823
Thresh, 2, true, 0.9, 3.2294, -1.2566
Thresh, 2, true, 0.9, 3.2213, -1.131
Thresh, 2, true, 0.9, 3.1897, -1.0053
Thresh, 2, true, 0.9, 3.0844, -0.87965
Thresh, 2, true, 0.9, 2.8086, -0.75398
Thresh, 2, true, 0.9, 2.3268, -0.62832
Thresh, 2, true, 0.9, 1.948, -0.50265
Thresh, 2, true, 0.9, 1.8011, -0.37699
Thresh, 2, true, 0.9, 1.7457, -0.25133
Thresh, 2, true, 0.9, 1.724, -0.12566
Thresh, 2, true, 0.9, 1.7181, 1.1102e-15
Thresh, 2, true, 0.9, 1.724, 0.12566
Thresh, 2, true, 0.9, 1.7457, 0.25133
Thresh, 2, true, 0.9, 1.8011, 0.37699
Thresh, 2, true, 0.9, 1.948, 0.50265
Thresh, 2, true, 0.9, 2.3268, 0.62832
Thresh, 2, true, 0.9, 2.8086, 0.75398
Thresh, 2, true, 0.9, 3.0844, 0.87965
Thresh, 2, true, 0.9, 3.1897, 1.0053
Thresh, 2, true, 0.9, 3.2213, 1.131
Thresh, 2, true, 0.9, 3.2294, 1.2566
Thresh, 2, true, 0.9, 3.2312, 1.3823
Thresh, 2, true, 0.9, 3.2316, 1.508
Thresh, 2, true, 0.9, 3.2317, 1.6336
Thresh, 2, true, 0.9, 3.2317, 1.7593
Thresh, 2, true, 0.9, 3.2318, 1.885
Thresh, 2, true, 0.9, 3.2318, 2.0106
Thresh, 2, true, 0.9, 3.2318, 2.1363
Thresh, 2, true, 0.9, 3.2318, 2.2619
Thresh, 2, true, 0.9, 3.2318, 2.3876
Thresh, 2, true, 0.9, 3.2318, 2.5133
Thresh, 2, true, 0.9, 3.2318, 2.6389
Thresh, 2, true, 0.9, 3.2318, 2.7646
Thresh, 2, true, 0.9, 3.2318, 2.8903
Thresh, 2, true, 0.9, 3.2318, 3.0159
Thresh, 3, true, 0.1, 0.21004, -3.1416
Thresh, 3, true, 0.1, 0.21004, -3.0159
Thresh, 3, true, 0.1, 0.21004, -2.8903
Thresh, 3, true, 0.1, 0.21004, -2.7646
Thresh, 3, true, 0.1, 0.21004, -2.6389
Thresh, 3, true, 0.1, 0.21005, -2.5133
Thresh, 3, true, 0.1, 0.21005, -2.3876
Thresh, 3, true, 0.1, 0.21007, -2.2619
Thresh, 3, true, 0.1, 0.2101, -2.1363
Thresh, 3, true, 0.1, 0.21015, -2.0106
Thresh, 3, true, 0.1, 0.21027, -1.885
Thresh, 3, true, 0.1, 0.21051, -1.7593
Thresh, 3, true, 0.1, 0.21101, -1.6336
Thresh, 3, true, 0.1, 0.21206, -1.508
Thresh, 3, true, 0.1, 0.2142, -1.3823
Thresh, 3, true, 0.1, 0.21836, -1.2566
Thresh, 3, true, 0.1, 0.22599, -1.131
Thresh, 3, true, 0.1, 0.23803, -1.0053
Thresh, 3, true, 0.1, 0.25456, -0.87965
Thresh, 3, true, 0.1, 0.27273, -0.75398
Thresh, 3, true, 0.1, 0.28866, -0.62832
Thresh, 3, true, 0.1, 0.30046, -0.50265
Thresh, 3, true, 0.1, 0.30844, -0.37699
Thresh, 3, true, 0.1, 0.31322, -0.25133
Thresh, 3, true, 0.1, 0.31572, -0.12566
Thresh, 3, true, 0.1, 0.31651, 1.1102e-15
Thresh, 3, true, 0.1, 0.31572, 0.12566
Thresh, 3, true, 0.1, 0.31322, 0.25133
Thresh, 3, true, 0.1, 0.30844, 0.37699
Thresh, 3, true, 0.1, 0.30046, 0.50265
Thresh, 3, true, 0.1, 0.28866, 0.62832
Thresh, 3, true, 0.1, 0.27273, 0.75398
Thresh, 3, true, 0.1, 0.25456, 0.87965
Thresh, 3, true, 0.1, 0.23803, 1.0053
Thresh, 3, true, 0.1, 0.22599, 1.131
Thresh, 3, true, 0.1, 0.21836, 1.2566
Thresh, 3, true, 0.1, 0.2142, 1.3823
Thresh, 3, true, 0.1, 0.21206, 1.508
Thresh, 3, true, 0.1, 0.21101, 1.6336
Thresh, 3, true, 0.1, 0.21051, 1.7593
Thresh, 3, true, 0.1, 0.21027, 1.885
Thresh, 3, true, 0.1, 0.21015, 2.0106
Thresh, 3, true, 0.1, 0.2101, 2.1363
Thresh, 3, true, 0.1, 0.21007, 2.2619
Thresh, 3, true, 0.1, 0.21005, 2.3876
Thresh, 3, true, 0.1, 0.21005, 2.5133
Thresh, 3, true, 0.1, 0.21004, 2.6389
Thresh, 3, true, 0.1, 0.21004, 2.7646
Thresh, 3, true, 0.1, 0.21004, 2.8903
Thresh, 3, true, 0.1, 0.21004, 3.0159
Thresh, 3, true, 0.5, 0.56497, -3.1416
Thresh, 3, true, 0.5, 0.56497, -3.0159
Thresh, 3, true, 0.5, 0.56497, -2.8903
Thresh, 3, true, 0.5, 0.56498, -2.7646
Thresh, 3, true, 0.5, 0.56498, -2.6389
Thresh, 3, true, 0.5, 0.56498, -2.5133
Thresh, 3, true, 0.5, 0.56498, -2.3876
Thresh, 3, true, 0.5, 0.56499, -2.2619
Thresh, 3, true, 0.5, 0.56501, -2.1363
Thresh, 3, true, 0.5, 0.56504, -2.0106
Thresh, 3, true, 0.5, 0.5651, -1.885
Thresh, 3, true, 0.5, 0.56523, -1.7593
Thresh, 3, true, 0.5, 0.56549, -1.6336
Thresh, 3, true, 0.5, 0.56603, -1.508
Thresh, 3, true, 0.5, 0.56706, -1.3823
Thresh, 3, true, 0.5, 0.56888, -1.2566
Thresh, 3, true, 0.5, 0.57167, -1.131
Thresh, 3, true, 0.5, 0.57523, -1.0053
Thresh, 3, true, 0.5, 0.5789, -0.87965
Thresh, 3, true, 0.5, 0.58205, -0.75398
Thresh, 3, true, 0.5, 0.58442, -0.62832
Thresh, 3, true, 0.5, 0.586, -0.50265
Thresh, 3, true, 0.5, 0.58699, -0.37699
Thresh, 3, true, 0.5, 0.58758, -0.25133
Thresh, 3, true, 0.5, 0.58789, -0.12566
Thresh, 3, true, 0.5, 0.58799, 1.1102e-15
Thresh, 3, true, 0.5, 0.58789, 0.12566
Thresh, 3, true, 0.5, 0.58758, 0.25133
Thresh, 3, true, 0.5, 0.58699, 0.37699
Thresh, 3, true, 0.5, 0.586, 0.50265
Thresh, 3, true, 0.5, 0.58442, 0.62832
Thresh, 3, true, 0.5, 0.58205, 0.75398
Thresh, 3, true, 0.5, 0.5789, 0.87965
Thresh, 3, true, 0.5, 0.57523, 1.0053
Thresh, 3, true, 0.5, 0.57167, 1.131
Thresh, 3, true, 0.5, 0.56888, 1.2566
Thresh, 3, true, 0.5, 0.56706, 1.3823
Thresh, 3, true, 0.5, 0.56603, 1.508
Thresh, 3, true, 0.5, 0.56549, 1.6336
Thresh, 3, true, 0.5, 0.56523, 1.7593
Thresh, 3, true, 0.5, 0.5651, 1.885
Thresh, 3, true, 0.5, 0.56504, 2.0106
Thresh, 3, true, 0.5, 0.56501, 2.1363
Thresh, 3, true, 0.5, 0.56499, 2.2619
Thresh, 3, true, 0.5, 0.56498, 2.3876
Thresh, 3, true, 0.5, 0.56498, 2.5133
Thresh, 3, true, 0.5, 0.56498, 2.6389
Thresh, 3, true, 0.5, 0.56498, 2.7646
Thresh, 3, true, 0.5, 0.56497, 2.8903
Thresh, 3, true, 0.5, 0.56497, 3.0159
Thresh, 3, true, 0.9, 1.4257, -3.1416
Thresh, 3, true, 0.9, 1.4257, -3.0159
